site;site_code;lat;long;province;year;month;sampling_date;season;sample_event;survey_type;plant_species;tiller_diam;tiller_height;tiller_alive;tiller_seeding;exit_holes_stem;exit_holes_inflor;tetramesa_sp1_abun;tetramesa_sp1_pres;tetramesa_sp2_abun;tetramesa_sp2_pres;bruchophagus_sp1_abun;bruchophagus_sp1_pres;shotholeborer_sp1_abun;shotholeborer_sp1_pres;chloropid_sp1_abun;chloropid_sp1_pres;eurytomid_sp4_abun;eurytomid_sp4_pres;ustilago_sp_pres;exit_holes_total;endo_abun_total;insect_abun_total;disturbance_type;disturb_time_since;disturb_allow_overwinter;insect_code;insect_order;insect_family;insect_id;second_insect_id;notes
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;5.0;118;0;0;1;0;2;1;0;0;0;0;1;1;0;0;0;0;0;1;3;4;slashing;> 6 months;Yes;SP1-1-001;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.8;113;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;3;5;slashing;> 6 months;Yes;SP1-1-002;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.0;108;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;2;3;slashing;> 6 months;Yes;SP1-1-003;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.3;68;0;0;8;0;8;1;1;1;1;1;0;0;0;0;0;0;0;8;10;18;slashing;> 6 months;Yes;SP1-1-004;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.4;74;0;0;0;0;6;1;2;1;0;0;1;1;0;0;0;0;0;0;9;9;slashing;> 6 months;Yes;SP1-1-005;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.6;76;0;0;6;0;1;1;0;0;0;0;1;1;0;0;0;0;0;6;2;8;slashing;> 6 months;Yes;SP1-1-005;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.3;113;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;3;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.2;117;1;1;0;0;0;0;0;0;6;1;3;1;0;0;0;0;0;0;9;9;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.7;106;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4;slashing;> 6 months;Yes;SP1-1-005;Hymenoptera;Eurytomidae;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Sporobolus pyramidalis;4.0;113;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Melinis repens;1.1;55;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Melinis repens;1.1;56;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Melinis repens;1.4;62;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Melinis repens;1.3;51;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Melinis repens;1.6;45;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
Westwood;LTS001;-29.82913;30.95911;KZN;2017;Nov;Nov-17;Summer;1;LTS;Melinis repens;1.6;60;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;slashing;> 6 months;Yes;;;;;;
